fecha_info,codigo_entidad,nombre_entidad,sector,tipo_persona,tipo_segmento,deudores_total,deudores_irregulares,pct_irregular_cantidad,credito_total_miles_pesos,credito_irregular_miles_pesos,pct_irregular_monto,registros_situacion_1,registros_situacion_2,registros_situacion_3,registros_situacion_4,registros_situacion_5,registros_situacion_11
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,desconocido,Desconocido,15,0,0.00,634544925.0,0.0,0.00,15,0,0,0,0,0
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,empresa,Empresas,135918,13143,9.67,12189156221.0,518806084.0,4.26,122761,1420,3012,1993,6718,14
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,persona_fisica,Familias,2316407,559263,24.14,10530188115.0,3027875989.0,28.75,1757135,74551,67293,103523,313896,9
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,total,Total,2452340,572406,23.34,23353889261.0,3546682073.0,15.19,1879911,75971,70305,105516,320614,23
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,desconocido,Desconocido,2,0,0.00,9170013.0,0.0,0.00,2,0,0,0,0,0
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,empresa,Empresas,35829,3223,9.00,14418175957.0,827500552.0,5.74,31844,1275,739,742,467,762
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,persona_fisica,Familias,2364488,439250,18.58,18253078313.0,2121275093.0,11.62,1922793,87849,93703,139073,118625,2445
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,total,Total,2400319,442473,18.43,32680424283.0,2948775645.0,9.02,1954639,89124,94442,139815,119092,3207
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,desconocido,Desconocido,7,0,0.00,33712737.0,0.0,0.00,7,0,0,0,0,0
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,empresa,Empresas,22408,2262,10.09,4345227376.0,334957983.0,7.71,20118,632,526,600,504,28
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,persona_fisica,Familias,1880718,326019,17.33,6932529032.0,1431303356.0,20.65,1553395,68705,62147,106437,88730,1304
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,total,Total,1903133,328281,17.25,11311469145.0,1766261339.0,15.61,1573520,69337,62673,107037,89234,1332
202604,00015,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.,Financiero,desconocido,Desconocido,8,0,0.00,37003612.0,0.0,0.00,8,0,0,0,0,0
202604,00015,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.,Financiero,empresa,Empresas,15561,1514,9.73,5391630830.0,89116239.0,1.65,14033,409,348,480,277,14
202604,00015,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.,Financiero,persona_fisica,Familias,609259,86139,14.14,2496391229.0,536640884.0,21.50,523118,19104,21879,35925,9231,2
202604,00015,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.,Financiero,total,Total,624828,87653,14.03,7925025671.0,625757123.0,7.90,537159,19513,22227,36405,9508,16
202604,00016,CITIBANK N.A.,Financiero,desconocido,Desconocido,7,0,0.00,9292924.0,0.0,0.00,7,0,0,0,0,0
202604,00016,CITIBANK N.A.,Financiero,empresa,Empresas,429,1,0.23,1236395044.0,371365.0,0.03,417,0,0,0,1,11
202604,00016,CITIBANK N.A.,Financiero,total,Total,436,1,0.23,1245687968.0,371365.0,0.03,424,0,0,0,1,11
202604,00017,BANCO BBVA ARGENTINA S.A.,Financiero,desconocido,Desconocido,27,0,0.00,230105369.0,0.0,0.00,27,0,0,0,0,0
202604,00017,BANCO BBVA ARGENTINA S.A.,Financiero,empresa,Empresas,39348,9688,24.62,8891888787.0,252789361.0,2.84,29654,1407,1640,2242,4399,6
202604,00017,BANCO BBVA ARGENTINA S.A.,Financiero,persona_fisica,Familias,2095934,480287,22.92,6338498193.0,1443246420.0,22.77,1615647,74246,86423,172855,146763,0
202604,00017,BANCO BBVA ARGENTINA S.A.,Financiero,total,Total,2135309,489975,22.95,15460492349.0,1696035781.0,10.97,1645328,75653,88063,175097,151162,6
202604,00020,BANCO DE LA PROVINCIA DE CORDOBA S.A.,Financiero,empresa,Empresas,4015,381,9.49,821583618.0,55816134.0,6.79,3626,72,75,125,109,8
202604,00020,BANCO DE LA PROVINCIA DE CORDOBA S.A.,Financiero,persona_fisica,Familias,543186,80505,14.82,2586077747.0,368615434.0,14.25,462674,15779,13719,27259,23748,7
202604,00020,BANCO DE LA PROVINCIA DE CORDOBA S.A.,Financiero,total,Total,547201,80886,14.78,3407661365.0,424431568.0,12.46,466300,15851,13794,27384,23857,15
202604,00027,BANCO SUPERVIELLE S.A.,Financiero,desconocido,Desconocido,5,1,20.00,4297032.0,554929.0,12.91,4,0,1,0,0,0
202604,00027,BANCO SUPERVIELLE S.A.,Financiero,empresa,Empresas,11063,2464,22.27,2748320473.0,138501459.0,5.04,8521,319,285,529,1331,78
202604,00027,BANCO SUPERVIELLE S.A.,Financiero,persona_fisica,Familias,486043,86021,17.70,1636586340.0,319541660.0,19.52,399821,17086,15680,20463,32792,201
202604,00027,BANCO SUPERVIELLE S.A.,Financiero,total,Total,497111,88486,17.80,4389203845.0,458598048.0,10.45,408346,17405,15966,20992,34123,279
202604,00029,BANCO DE LA CIUDAD DE BUENOS AIRES,Financiero,empresa,Empresas,3629,317,8.74,1630565578.0,78996170.0,4.84,3140,110,72,73,62,172
202604,00029,BANCO DE LA CIUDAD DE BUENOS AIRES,Financiero,persona_fisica,Familias,382347,34396,9.00,1983521817.0,187718430.0,9.46,347726,8631,8088,10711,6966,225
202604,00029,BANCO DE LA CIUDAD DE BUENOS AIRES,Financiero,total,Total,385976,34713,8.99,3614087395.0,266714600.0,7.38,350866,8741,8160,10784,7028,397
202604,00034,BANCO PATAGONIA S.A.,Financiero,desconocido,Desconocido,2,0,0.00,916428.0,0.0,0.00,2,0,0,0,0,0
202604,00034,BANCO PATAGONIA S.A.,Financiero,empresa,Empresas,10897,1604,14.72,3052338100.0,15228197.0,0.50,9293,319,303,340,642,0
202604,00034,BANCO PATAGONIA S.A.,Financiero,persona_fisica,Familias,525787,69036,13.13,1204956046.0,184804749.0,15.34,456751,14380,14631,26248,13777,0
202604,00034,BANCO PATAGONIA S.A.,Financiero,total,Total,536686,70640,13.16,4258210574.0,200032946.0,4.70,466046,14699,14934,26588,14419,0
202604,00044,BANCO HIPOTECARIO S.A.,Financiero,empresa,Empresas,1706,422,24.74,621024804.0,20453603.0,3.29,1246,182,116,94,30,38
202604,00044,BANCO HIPOTECARIO S.A.,Financiero,persona_fisica,Familias,244132,39887,16.34,736752413.0,165455388.0,22.46,204228,7253,8038,12891,11705,17
202604,00044,BANCO HIPOTECARIO S.A.,Financiero,total,Total,245838,40309,16.40,1357777217.0,185908991.0,13.69,205474,7435,8154,12985,11735,55
202604,00045,BANCO DE SAN JUAN S.A.,Financiero,empresa,Empresas,1110,154,13.87,366648599.0,8578188.0,2.34,953,64,39,23,28,3
202604,00045,BANCO DE SAN JUAN S.A.,Financiero,persona_fisica,Familias,75976,8188,10.78,216116270.0,31320829.0,14.49,67774,2711,2312,2453,712,14
202604,00045,BANCO DE SAN JUAN S.A.,Financiero,total,Total,77086,8342,10.82,582764869.0,39899017.0,6.85,68727,2775,2351,2476,740,17
202604,00065,BANCO MUNICIPAL DE ROSARIO,Financiero,empresa,Empresas,757,56,7.40,56834678.0,2320592.0,4.08,701,15,11,14,16,0
202604,00065,BANCO MUNICIPAL DE ROSARIO,Financiero,persona_fisica,Familias,87032,8777,10.08,218045477.0,20494246.0,9.40,77135,2975,1857,1358,2587,1120
202604,00065,BANCO MUNICIPAL DE ROSARIO,Financiero,total,Total,87789,8833,10.06,274880155.0,22814838.0,8.30,77836,2990,1868,1372,2603,1120
202604,00072,BANCO SANTANDER ARGENTINA S.A.,Financiero,desconocido,Desconocido,14,0,0.00,64119673.0,0.0,0.00,14,0,0,0,0,0
202604,00072,BANCO SANTANDER ARGENTINA S.A.,Financiero,empresa,Empresas,48445,6655,13.74,6698939333.0,235195395.0,3.51,41554,1373,1715,2087,1480,236
202604,00072,BANCO SANTANDER ARGENTINA S.A.,Financiero,persona_fisica,Familias,1839675,274931,14.94,8188493075.0,1868503449.0,22.82,1564521,41288,49517,109515,74611,223
202604,00072,BANCO SANTANDER ARGENTINA S.A.,Financiero,total,Total,1888134,281586,14.91,14951552081.0,2103698844.0,14.07,1606089,42661,51232,111602,76091,459
202604,00083,BANCO DEL CHUBUT S.A.,Financiero,empresa,Empresas,1234,170,13.78,165840012.0,41298888.0,24.90,1064,53,32,36,49,0
202604,00083,BANCO DEL CHUBUT S.A.,Financiero,persona_fisica,Familias,92794,10131,10.92,432622831.0,55198626.0,12.76,82663,2944,2267,2285,2635,0
202604,00083,BANCO DEL CHUBUT S.A.,Financiero,total,Total,94028,10301,10.96,598462843.0,96497514.0,16.12,83727,2997,2299,2321,2684,0
202604,00086,BANCO DE SANTA CRUZ S.A.,Financiero,empresa,Empresas,425,73,17.18,69364293.0,1315355.0,1.90,352,14,14,12,33,0
202604,00086,BANCO DE SANTA CRUZ S.A.,Financiero,persona_fisica,Familias,53891,5768,10.70,311772509.0,44761275.0,14.36,48123,2271,1736,1375,386,0
202604,00086,BANCO DE SANTA CRUZ S.A.,Financiero,total,Total,54316,5841,10.75,381136802.0,46076630.0,12.09,48475,2285,1750,1387,419,0
202604,00093,BANCO DE LA PAMPA SA,Financiero,empresa,Empresas,2784,188,6.75,249159494.0,17883228.0,7.18,2548,35,49,61,43,48
202604,00093,BANCO DE LA PAMPA SA,Financiero,persona_fisica,Familias,141998,16933,11.92,462131390.0,50341345.0,10.89,125047,3509,3538,4417,5469,18
202604,00093,BANCO DE LA PAMPA SA,Financiero,total,Total,144782,17121,11.83,711290884.0,68224573.0,9.59,127595,3544,3587,4478,5512,66
202604,00094,BANCO DE CORRIENTES S.A.,Financiero,empresa,Empresas,1843,315,17.09,178083056.0,35397800.0,19.88,1528,88,54,70,103,0
202604,00094,BANCO DE CORRIENTES S.A.,Financiero,persona_fisica,Familias,132786,16049,12.09,326420746.0,50399911.0,15.44,116737,3023,3298,4159,5569,0
202604,00094,BANCO DE CORRIENTES S.A.,Financiero,total,Total,134629,16364,12.15,504503802.0,85797711.0,17.01,118265,3111,3352,4229,5672,0
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,empresa,Empresas,1678,345,20.56,287675286.0,11879090.0,4.13,1306,78,63,70,134,27
