fecha_info,codigo_entidad,nombre_entidad,sector,tipo_segmento,situacion_codigo,situacion_descripcion,deudores,monto_total_miles_pesos,monto_promedio_miles_pesos,pct_deudores_segmento,pct_monto_segmento,registros_origen
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Empresas,1,Situacion normal,122761,11669814310.0,95061.3,90.32,95.74,122761
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Empresas,11,Asistencias totalmente cubiertas con garantias preferidas A,14,535827.0,38273.4,0.01,0.00,14
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Empresas,2,Con seguimiento especial / riesgo bajo,1420,146035276.0,102841.7,1.04,1.20,1420
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Empresas,3,Con problemas / riesgo medio,3012,116947996.0,38827.4,2.22,0.96,3012
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Empresas,4,Con alto riesgo de insolvencia / riesgo alto,1993,171171263.0,85886.2,1.47,1.40,1993
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Empresas,5,Irrecuperable,6718,84651549.0,12600.7,4.94,0.69,6718
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Familias,1,Situacion normal,1757150,8136731847.0,4630.6,75.86,72.88,1757150
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Familias,11,Asistencias totalmente cubiertas con garantias preferidas A,9,125204.0,13911.6,0.00,0.00,9
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Familias,2,Con seguimiento especial / riesgo bajo,74551,472051987.0,6331.9,3.22,4.23,74551
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Familias,3,Con problemas / riesgo medio,67293,469951818.0,6983.7,2.91,4.21,67293
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Familias,4,Con alto riesgo de insolvencia / riesgo alto,103523,863969106.0,8345.7,4.47,7.74,103523
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Familias,5,Irrecuperable,313896,1221903078.0,3892.7,13.55,10.94,313896
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Total,1,Situacion normal,1879911,19806546157.0,10535.9,76.66,84.81,1879911
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Total,11,Asistencias totalmente cubiertas con garantias preferidas A,23,661031.0,28740.5,0.00,0.00,23
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Total,2,Con seguimiento especial / riesgo bajo,75971,618087263.0,8135.8,3.10,2.65,75971
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Total,3,Con problemas / riesgo medio,70305,586899814.0,8347.9,2.87,2.51,70305
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Total,4,Con alto riesgo de insolvencia / riesgo alto,105516,1035140369.0,9810.3,4.30,4.43,105516
202604,00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,Financiero,Total,5,Irrecuperable,320614,1306554627.0,4075.2,13.07,5.59,320614
